composition_string,Mo,Nb,Ta,W,run_number,calculator,model,diffusing_element,forward_barrier_eV,backward_barrier_eV,E_initial_eV,E_final_eV,initial_relax_time_s,final_relax_time_s,neb_time_s,total_time_s,structure_folder,timestamp
Mo23Nb6Ta58W13,0.2262951130781403,0.05952456564665891,0.5807993452075384,0.13338097606766242,1,CHGNet,CHGNet-pretrained,W,0.846069,0.732788,-1487.546265,-1487.432983,0.90,1.53,1.55,4.46,MoNbTaW/Mo23Nb6Ta58W13/run_1,2025-11-03 23:22:27
Mo36Nb1Ta8W54,0.36031890820498824,0.013069146532006195,0.08332253399580264,0.543289411267203,1,CHGNet,CHGNet-pretrained,W,0.616089,0.747314,-1517.758545,-1517.889771,1.10,0.81,1.21,3.62,MoNbTaW/Mo36Nb1Ta8W54/run_1,2025-11-03 23:22:31
Mo68Nb2Ta23W6,0.6829172310224697,0.022454343094002703,0.2320492006590742,0.0625792252244534,1,CHGNet,CHGNet-pretrained,Mo,0.411499,0.376099,-1423.954468,-1423.919067,0.97,1.85,1.62,4.88,MoNbTaW/Mo68Nb2Ta23W6/run_1,2025-11-03 23:22:36
Mo9Nb73Ta14W4,0.09134552680172621,0.7271447928208313,0.14421173754569852,0.0372979428317441,1,CHGNet,CHGNet-pretrained,W,0.562866,0.693481,-1320.133301,-1320.263916,1.20,1.95,2.38,5.98,MoNbTaW/Mo9Nb73Ta14W4/run_1,2025-11-03 23:22:42
Mo16Nb28Ta44W11,0.16229228019570063,0.28026380867051465,0.4448264439732677,0.11261746716051686,1,CHGNet,CHGNet-pretrained,Ta,0.541504,0.404541,-1433.438599,-1433.301636,1.12,1.15,1.09,3.82,MoNbTaW/Mo16Nb28Ta44W11/run_1,2025-11-03 23:22:46
Mo2Nb17Ta74W7,0.018447742048388106,0.167406144445,0.7391523565004892,0.07499375700612258,1,CHGNet,CHGNet-pretrained,Ta,0.303467,0.395020,-1463.161621,-1463.253174,1.80,1.49,1.74,5.45,MoNbTaW/Mo2Nb17Ta74W7/run_1,2025-11-03 23:22:51
Mo49Nb3Ta22W26,0.49218418130318725,0.02655439988026935,0.2244342230819253,0.25682719573461793,1,CHGNet,CHGNet-pretrained,Mo,0.476196,0.570923,-1473.856079,-1473.950684,0.97,1.65,2.79,5.82,MoNbTaW/Mo49Nb3Ta22W26/run_1,2025-11-03 23:22:57
Mo22Nb24Ta52W3,0.2158766992677285,0.23716725323898163,0.5215298165809298,0.025426230912360192,1,CHGNet,CHGNet-pretrained,Nb,0.346558,0.360107,-1425.626099,-1425.639648,1.72,1.77,2.13,6.08,MoNbTaW/Mo22Nb24Ta52W3/run_1,2025-11-03 23:23:03
Mo18Nb23Ta25W34,0.18141082082736126,0.22915792781805563,0.24676852642849634,0.3426627249260868,1,CHGNet,CHGNet-pretrained,W,0.717041,0.548828,-1481.568359,-1481.400146,1.74,2.21,2.84,7.24,MoNbTaW/Mo18Nb23Ta25W34/run_1,2025-11-03 23:23:10
Mo19Nb14Ta33W34,0.18651014272769761,0.1388642581331689,0.33292701899244764,0.3416985801466858,1,CHGNet,CHGNet-pretrained,Ta,0.812134,0.224121,-1504.061523,-1503.473511,2.16,2.31,1.53,6.45,MoNbTaW/Mo19Nb14Ta33W34/run_1,2025-11-03 23:23:17
Mo43Nb8Ta29W20,0.4341684457819191,0.07552368111838528,0.29438552452604494,0.1959223485736508,1,CHGNet,CHGNet-pretrained,Ta,0.298706,0.286011,-1463.000000,-1462.987183,2.00,1.52,1.95,6.00,MoNbTaW/Mo43Nb8Ta29W20/run_1,2025-11-03 23:23:23
Mo16Nb41Ta9W33,0.1639355881454084,0.41487362207613654,0.08686485310417534,0.33432593667427973,1,CHGNet,CHGNet-pretrained,Mo,0.416626,0.612671,-1434.356689,-1434.552734,0.84,1.12,1.85,4.29,MoNbTaW/Mo16Nb41Ta9W33/run_1,2025-11-03 23:23:27
Mo40Nb20Ta35W5,0.39817677072459556,0.20392898193790476,0.3469510129266659,0.05094323441083374,1,CHGNet,CHGNet-pretrained,Nb,0.385376,0.058350,-1423.800781,-1423.473755,1.64,1.96,2.08,6.25,MoNbTaW/Mo40Nb20Ta35W5/run_1,2025-11-03 23:23:33
Mo7Nb8Ta62W23,0.07106796844872103,0.07985185089460957,0.6153511104803877,0.2337290701762818,1,CHGNet,CHGNet-pretrained,Ta,0.168457,0.213867,-1511.137939,-1511.183350,2.44,1.81,1.99,6.69,MoNbTaW/Mo7Nb8Ta62W23/run_1,2025-11-03 23:23:40
Mo62Nb26Ta0W12,0.6208377398095161,0.26265024522024,0.001015936745522092,0.11549607822472195,1,CHGNet,CHGNet-pretrained,Mo,0.557129,0.644775,-1380.220215,-1380.307739,1.11,1.05,2.37,4.99,MoNbTaW/Mo62Nb26Ta0W12/run_1,2025-11-03 23:23:45
Mo21Nb7Ta33W38,0.21265102586762238,0.07400225348355635,0.3324997049126995,0.38084701573612184,1,CHGNet,CHGNet-pretrained,Ta,0.467896,0.398438,-1522.254883,-1522.185425,1.27,1.56,0.50,3.74,MoNbTaW/Mo21Nb7Ta33W38/run_1,2025-11-03 23:23:49
Mo68Nb0Ta14W18,0.6784879716255587,0.004149828565791981,0.1353341188700341,0.18202808093861508,1,CHGNet,CHGNet-pretrained,W,0.838135,0.719482,-1434.041626,-1433.922974,1.06,0.87,2.33,4.71,MoNbTaW/Mo68Nb0Ta14W18/run_1,2025-11-03 23:23:54
Mo52Nb12Ta4W33,0.5155083334516954,0.11958175788711184,0.03659553501737918,0.3283143736438136,1,CHGNet,CHGNet-pretrained,Mo,0.706421,0.540894,-1450.579346,-1450.413940,0.83,0.80,1.19,3.26,MoNbTaW/Mo52Nb12Ta4W33/run_1,2025-11-03 23:23:57
Mo39Nb9Ta36W16,0.39232038550140574,0.09257714787848355,0.35722326895270906,0.15787919766740174,1,CHGNet,CHGNet-pretrained,Ta,0.244751,0.109009,-1465.164429,-1465.028687,1.28,1.62,2.83,6.25,MoNbTaW/Mo39Nb9Ta36W16/run_1,2025-11-03 23:24:03
Mo5Nb40Ta21W34,0.04757806051103683,0.3968277499149109,0.2122678042459678,0.3433263853280844,1,CHGNet,CHGNet-pretrained,Nb,0.163940,0.406616,-1456.381470,-1456.624146,1.33,1.19,2.36,5.38,MoNbTaW/Mo5Nb40Ta21W34/run_1,2025-11-03 23:24:09
Mo37Nb1Ta3W60,0.3657027110767536,0.005423968188262898,0.03145895250415082,0.5974143682308327,1,CHGNet,CHGNet-pretrained,W,0.628174,0.696533,-1521.812256,-1521.880737,0.48,0.39,1.27,2.61,MoNbTaW/Mo37Nb1Ta3W60/run_1,2025-11-03 23:24:11
Mo15Nb38Ta32W15,0.15188537670745186,0.37997729359387594,0.32205896710416443,0.1460783625945078,1,CHGNet,CHGNet-pretrained,Mo,0.656006,0.703003,-1416.907593,-1416.954590,1.66,2.20,3.02,7.32,MoNbTaW/Mo15Nb38Ta32W15/run_1,2025-11-03 23:24:19
Mo59Nb2Ta3W36,0.5945385485591452,0.016434542637819925,0.026774738297221094,0.3622521705058137,1,CHGNet,CHGNet-pretrained,Mo,0.620239,0.638306,-1458.089478,-1458.107544,0.82,0.80,3.01,5.25,MoNbTaW/Mo59Nb2Ta3W36/run_1,2025-11-03 23:24:24
Mo20Nb11Ta29W40,0.1983388123322908,0.10716438621803401,0.2918543539831329,0.4026424474665422,1,CHGNet,CHGNet-pretrained,Ta,0.314209,0.345093,-1515.999878,-1516.030762,2.19,1.76,1.22,5.59,MoNbTaW/Mo20Nb11Ta29W40/run_1,2025-11-03 23:24:29
Mo15Nb6Ta14W66,0.14501686256242743,0.057631117829366904,0.1416087437202202,0.6557432758879855,1,CHGNet,CHGNet-pretrained,Nb,0.371460,0.353760,-1558.571167,-1558.553589,1.24,1.57,2.15,5.41,MoNbTaW/Mo15Nb6Ta14W66/run_1,2025-11-03 23:24:35
Mo35Nb51Ta1W14,0.34521153426453516,0.5063763414037746,0.011572239781026311,0.13683988455066387,1,CHGNet,CHGNet-pretrained,Mo,0.482422,0.435547,-1365.429321,-1365.382446,1.32,1.69,3.91,7.39,MoNbTaW/Mo35Nb51Ta1W14/run_1,2025-11-03 23:24:42
Mo51Nb27Ta13W9,0.5126926115365402,0.2673591202209033,0.13124416437064107,0.08870410387191528,1,CHGNet,CHGNet-pretrained,Mo,0.537354,0.512695,-1395.344971,-1395.320312,1.16,1.44,2.39,5.45,MoNbTaW/Mo51Nb27Ta13W9/run_1,2025-11-03 23:24:48
Mo0Nb7Ta84W9,0.00039598657457745156,0.07389621886298549,0.8397893936769844,0.08591840088545279,1,CHGNet,CHGNet-pretrained,Ta,0.176147,0.445068,-1487.367676,-1487.636597,1.52,0.46,2.71,5.12,MoNbTaW/Mo0Nb7Ta84W9/run_1,2025-11-03 23:24:53
Mo34Nb15Ta4W47,0.3354825279422325,0.15427088041648715,0.03575854463536864,0.47448804700591174,1,CHGNet,CHGNet-pretrained,W,0.722412,0.633057,-1483.147217,-1483.057861,1.17,1.19,2.86,5.71,MoNbTaW/Mo34Nb15Ta4W47/run_1,2025-11-03 23:24:59
Mo4Nb19Ta36W41,0.042437859188781214,0.1873793130346371,0.360940371210941,0.4092424565656406,1,CHGNet,CHGNet-pretrained,Ta,0.387695,0.467896,-1514.698486,-1514.778687,2.08,1.27,2.24,6.08,MoNbTaW/Mo4Nb19Ta36W41/run_1,2025-11-03 23:25:05
Mo16Nb23Ta14W47,0.15973576946850024,0.23294485823365957,0.13602688798002815,0.47129248431781207,1,CHGNet,CHGNet-pretrained,W,0.565918,0.410522,-1495.126099,-1494.970703,1.87,1.75,3.10,7.14,MoNbTaW/Mo16Nb23Ta14W47/run_1,2025-11-03 23:25:12
Mo21Nb35Ta22W23,0.20611448630349172,0.3492992646507365,0.2191344430677284,0.22545180597804343,1,CHGNet,CHGNet-pretrained,Nb,0.279175,0.000000,-1431.662231,-1431.383057,2.46,2.41,3.34,8.72,MoNbTaW/Mo21Nb35Ta22W23/run_1,2025-11-03 23:25:20
Mo43Nb25Ta27W4,0.4281828816909368,0.2530388082382752,0.27394599257208035,0.04483231749870751,1,CHGNet,CHGNet-pretrained,Nb,0.667725,0.429810,-1406.217529,-1405.979614,-0.24,0.86,2.50,3.60,MoNbTaW/Mo43Nb25Ta27W4/run_1,2025-11-03 23:25:24
Mo56Nb14Ta17W12,0.5592233229966678,0.14282192451482068,0.17412786132317096,0.12382689116534047,1,CHGNet,CHGNet-pretrained,Mo,0.318848,0.540161,-1420.408936,-1420.630249,1.03,1.38,33.70,36.52,MoNbTaW/Mo56Nb14Ta17W12/run_1,2025-11-03 23:26:01
Mo38Nb19Ta14W28,0.38309711517590755,0.19089194675605323,0.14117391289669237,0.28483702517134696,1,CHGNet,CHGNet-pretrained,Ta,0.252808,0.442261,-1453.777344,-1453.966797,1.86,2.78,2.18,7.26,MoNbTaW/Mo38Nb19Ta14W28/run_1,2025-11-03 23:26:08
Mo7Nb10Ta38W45,0.07149128183032806,0.10072564637220058,0.38151153318468617,0.4462715386127853,1,CHGNet,CHGNet-pretrained,Nb,0.726196,0.669312,-1542.036865,-1541.979980,1.22,1.13,2.80,5.76,MoNbTaW/Mo7Nb10Ta38W45/run_1,2025-11-03 23:26:14
Mo27Nb47Ta21W6,0.2677749509949707,0.4672576733364665,0.20646154737938874,0.058505828289174076,1,CHGNet,CHGNet-pretrained,Ta,0.164307,0.544678,-1369.732178,-1370.112549,2.05,2.37,1.97,6.84,MoNbTaW/Mo27Nb47Ta21W6/run_1,2025-11-03 23:26:21
Mo50Nb28Ta19W2,0.5018483408342124,0.2813015595000198,0.19451250757583435,0.022337592089933415,1,CHGNet,CHGNet-pretrained,Mo,0.502441,0.419678,-1387.180664,-1387.097900,2.13,-0.13,3.66,6.24,MoNbTaW/Mo50Nb28Ta19W2/run_1,2025-11-03 23:26:27
Mo49Nb7Ta28W16,0.4898471982273098,0.06608378850478738,0.2831753233836567,0.16089368988424613,1,CHGNet,CHGNet-pretrained,Ta,0.454956,0.586426,-1458.078613,-1458.210083,1.47,1.95,2.62,6.54,MoNbTaW/Mo49Nb7Ta28W16/run_1,2025-11-03 23:26:33
Mo9Nb20Ta54W18,0.0854565087081106,0.19509894348787934,0.5427601473423536,0.1766844004616564,1,CHGNet,CHGNet-pretrained,Mo,0.442505,0.509155,-1474.666626,-1474.733276,1.79,2.31,3.49,8.10,MoNbTaW/Mo9Nb20Ta54W18/run_1,2025-11-03 23:26:41
Mo9Nb36Ta36W20,0.08681071250761284,0.36213357295183635,0.35546638136254416,0.19558933317800672,1,CHGNet,CHGNet-pretrained,Ta,0.789185,0.512573,-1435.315063,-1435.038452,1.49,1.41,2.74,6.09,MoNbTaW/Mo9Nb36Ta36W20/run_1,2025-11-03 23:26:48
Mo35Nb4Ta27W35,0.35253642853242567,0.03549017984727363,0.26643875098526376,0.34553464063503697,1,CHGNet,CHGNet-pretrained,Ta,0.129883,0.332397,-1500.804443,-1501.006958,1.35,1.70,1.55,5.18,MoNbTaW/Mo35Nb4Ta27W35/run_1,2025-11-03 23:26:53
Mo0Nb1Ta38W62,0.0010228235990915387,0.00606626110790473,0.37741319161811937,0.6154977236748843,1,CHGNet,CHGNet-pretrained,Ta,0.353027,0.430176,-1592.581665,-1592.658569,0.65,1.71,1.10,3.89,MoNbTaW/Mo0Nb1Ta38W62/run_1,2025-11-03 23:26:57
Mo7Nb51Ta13W29,0.07021284845629931,0.5067402394916476,0.13424429002135427,0.28880262203069873,1,CHGNet,CHGNet-pretrained,Nb,0.676392,0.554932,-1416.410156,-1416.288696,1.11,1.43,1.66,4.66,MoNbTaW/Mo7Nb51Ta13W29/run_1,2025-11-03 23:27:01
Mo27Nb18Ta25W30,0.2724981313829402,0.1790686287503218,0.24709282273165206,0.3013404171350859,1,CHGNet,CHGNet-pretrained,Ta,0.564819,0.452515,-1473.158203,-1473.045776,0.96,0.98,2.23,4.57,MoNbTaW/Mo27Nb18Ta25W30/run_1,2025-11-03 23:27:06
Mo8Nb56Ta14W22,0.0755091545237501,0.5570442535405237,0.14385457619953698,0.2235920157361892,1,CHGNet,CHGNet-pretrained,Mo,0.665649,0.882202,-1393.859985,-1394.076538,1.27,1.65,4.52,7.84,MoNbTaW/Mo8Nb56Ta14W22/run_1,2025-11-03 23:27:14
Mo19Nb17Ta35W29,0.1872488590783965,0.169003052629711,0.35010494159231537,0.2936431466995771,1,CHGNet,CHGNet-pretrained,Nb,0.425659,0.448730,-1487.510254,-1487.533447,1.13,1.19,2.09,4.89,MoNbTaW/Mo19Nb17Ta35W29/run_1,2025-11-03 23:27:19
Mo0Nb12Ta51W37,0.0035490936497611235,0.1170373914162057,0.5074083933071808,0.37200512162685245,1,CHGNet,CHGNet-pretrained,W,0.117065,0.000000,-1532.933228,-1532.816162,1.66,2.02,1.83,6.00,MoNbTaW/Mo0Nb12Ta51W37/run_1,2025-11-03 23:27:25
Mo4Nb3Ta39W54,0.044393096086145126,0.02607174218389847,0.38908847237410565,0.5404466893558507,1,CHGNet,CHGNet-pretrained,W,0.424561,0.665649,-1573.416260,-1573.657593,-0.27,1.24,2.56,4.05,MoNbTaW/Mo4Nb3Ta39W54/run_1,2025-11-03 23:27:29
Mo38Nb44Ta5W13,0.3779347274797458,0.43978171417375367,0.053788909947198066,0.1284946483993023,1,CHGNet,CHGNet-pretrained,Nb,0.286133,0.427734,-1376.433960,-1376.575562,1.41,1.30,2.17,5.32,MoNbTaW/Mo38Nb44Ta5W13/run_1,2025-11-03 23:27:34
Mo1Nb21Ta44W33,0.01467901115016858,0.20715317866388247,0.44415581827129114,0.33401199191465786,1,CHGNet,CHGNet-pretrained,Ta,0.414551,0.437256,-1500.746704,-1500.769409,1.67,1.44,2.15,5.70,MoNbTaW/Mo1Nb21Ta44W33/run_1,2025-11-03 23:27:40
Mo4Nb11Ta29W56,0.038077182113807374,0.10771924793169393,0.29059342275516886,0.5636101471993299,1,CHGNet,CHGNet-pretrained,Ta,0.587646,0.478516,-1556.650146,-1556.541016,1.32,1.66,2.27,5.67,MoNbTaW/Mo4Nb11Ta29W56/run_1,2025-11-03 23:27:45
Mo54Nb19Ta14W13,0.5359983307507141,0.19377973082651712,0.14261891310258565,0.12760302532018314,1,CHGNet,CHGNet-pretrained,W,0.750977,0.650269,-1412.639160,-1412.538452,1.97,1.08,2.60,6.17,MoNbTaW/Mo54Nb19Ta14W13/run_1,2025-11-03 23:27:52
Mo14Nb72Ta12W2,0.1411162488624628,0.7174304128226852,0.12014042781210106,0.021312910502751,1,CHGNet,CHGNet-pretrained,Nb,0.472534,0.380005,-1316.963867,-1316.871338,1.97,1.81,1.24,5.45,MoNbTaW/Mo14Nb72Ta12W2/run_1,2025-11-03 23:27:57
Mo36Nb19Ta40W6,0.35686038302737133,0.18790742024324708,0.39659580937966454,0.05863638734971707,1,CHGNet,CHGNet-pretrained,Mo,0.648682,0.450684,-1431.036011,-1430.838013,2.25,1.63,1.51,5.79,MoNbTaW/Mo36Nb19Ta40W6/run_1,2025-11-03 23:28:03
Mo66Nb3Ta7W24,0.6567607178275402,0.02790266703498477,0.07409132740493254,0.24124528773254253,1,CHGNet,CHGNet-pretrained,Nb,0.766235,0.466187,-1437.694092,-1437.394043,0.88,0.84,1.95,4.11,MoNbTaW/Mo66Nb3Ta7W24/run_1,2025-11-03 23:28:07
Mo28Nb22Ta40W11,0.2766392721665622,0.220009260141885,0.39562334214567685,0.1077281255458759,1,CHGNet,CHGNet-pretrained,Mo,0.384521,0.275513,-1440.829590,-1440.720581,1.73,1.89,3.09,7.13,MoNbTaW/Mo28Nb22Ta40W11/run_1,2025-11-03 23:28:14
Mo34Nb57Ta3W6,0.34280080305970967,0.5707639680254563,0.031380173204033836,0.055055055710800146,1,CHGNet,CHGNet-pretrained,Mo,0.693604,0.419678,-1339.776611,-1339.502686,2.39,1.30,2.03,6.16,MoNbTaW/Mo34Nb57Ta3W6/run_1,2025-11-03 23:28:20
Mo36Nb23Ta27W14,0.35844361503652966,0.2331252248678852,0.2685499573995291,0.13988120269605606,1,CHGNet,CHGNet-pretrained,Mo,0.516479,0.497681,-1431.894043,-1431.875244,2.05,1.03,2.73,6.22,MoNbTaW/Mo36Nb23Ta27W14/run_1,2025-11-03 23:28:27
Mo10Nb23Ta40W27,0.10103842170644774,0.22898426383303985,0.39565564465030406,0.2743216698102082,1,CHGNet,CHGNet-pretrained,Mo,0.490479,0.548096,-1481.767944,-1481.825562,-0.28,1.04,2.55,3.80,MoNbTaW/Mo10Nb23Ta40W27/run_1,2025-11-03 23:28:30
